date,close,volume,open,high,low
2/24/2017,94.01,1934661,93.25,94.06,92.67
2/23/2017,93.84,2078165,95.16,95.28,93.6
2/22/2017,94.75,1975049,95.89,95.97,94.31
2/21/2017,95.97,1550923,96.2,96.38,95.05
2/17/2017,95.91,1988583,96.21,96.34,95.02
2/16/2017,96.72,2811933,99.59,99.598,96.57
2/15/2017,99.79,1924877,97.44,100.29,96.91
2/14/2017,97.68,1873278,100.51,100.66,97.6
2/13/2017,98.97,1620375,98.88,99.42,98.205
2/10/2017,98.9,2314945,99.03,100.2,98.52
2/9/2017,98.88,1763828,97.56,99.17,97.3
2/8/2017,97.18,1061765,96.98,97.23,96.33
2/7/2017,97.01,1903166,96.87,97.291,96.53
2/6/2017,97.02,2827948,98.25,99.3,95.99
2/3/2017,96.92,1888508,97.68,98.5,96.7
2/2/2017,97.38,1698109,97.33,98.08,96.564
2/1/2017,97.86,3023647,99.56,100.09,97.77
1/31/2017,101.43,1826104,102.15,102.45,100.89
1/30/2017,102.55,2480859,102.72,104.3899,102.1
1/27/2017,103.08,7964400,102,104.05,101
1/26/2017,95.5,5119291,96,99.35,95.2
1/25/2017,96.42,2879489,94.6,97.24,94.6
1/24/2017,94.03,1775730,92.87,94.44,92.51
1/23/2017,92.64,2322989,90.89,93.63,90.89
1/20/2017,90.82,954948,91.31,92.21,90.78
1/19/2017,90.93,1144024,91.84,92.35,90.51
1/18/2017,91.98,1202416,92.88,92.88,91.35
1/17/2017,92.34,2008374,90.5,93.2,89.6
1/13/2017,90.53,1527135,92.5,92.5,90.5
1/12/2017,91.94,1904044,92.63,92.8,90.22
1/11/2017,92.93,2206494,94.32,94.76,92.03
1/10/2017,94.83,3055866,93.67,95.47,93.36
1/9/2017,92.75,2775549,93.88,95,92.62
1/6/2017,92.43,1858447,91.08,92.63,90.81
1/5/2017,91.44,2507500,90.8,92.33,90.64
1/4/2017,90.28,2598455,87.71,90.46,87.71
1/3/2017,87.46,2704226,87.2,87.8902,86.2
12/30/2016,86.51,1887952,87.1,87.45,85.57
12/29/2016,87.17,982529,87.07,87.52,86.74
12/28/2016,87.08,1666997,88.23,88.67,86.621
12/27/2016,88.24,1482282,88.63,89.22,88.01
12/23/2016,88.34,1256367,87.81,89,87.74
12/22/2016,88.25,2076970,89.01,89.19,87.7
12/21/2016,89.27,2455172,89.1,89.7,88
12/20/2016,88.31,4094157,90.33,91.06,88
12/19/2016,90.12,3140653,92,92.714,89.85
12/16/2016,91.9,4106637,91.04,92.15,90.43
12/15/2016,90.88,3120197,91.82,92.48,90.39
12/14/2016,92.16,3534712,93.75,94.4699,91.45
12/13/2016,93.5,3737460,93.13,94.75,92.02
12/12/2016,91.5,3359173,92.28,92.49,90.0786
12/9/2016,91.88,9963495,96.41,96.494,91.15
12/8/2016,90.72,12643390,102.23,102.23,90
12/7/2016,101.99,1769334,101.28,102.09,100.05
12/6/2016,102.18,2891745,99,102.3,98.75
12/5/2016,98.37,1678578,99.56,100.39,97.97
12/2/2016,98.64,1956009,98,99.6,97.4011
12/1/2016,99.27,3881576,101,101,97.33
11/30/2016,101.99,2617650,101.8,104.9,101.52
11/29/2016,99.79,2684548,101.18,102.55,99.2
