date,close,volume,open,high,low
2/24/2017,81.08,11336170,81.6,81.8,80.76
2/23/2017,81.78,13840770,81.42,82.22,81.03
2/22/2017,80.93,12897880,81.65,81.7,80.87
2/21/2017,81.89,16413360,82.12,82.15,81.3
2/17/2017,81.76,15631780,82.09,82.19,81.44
2/16/2017,82.3,10612220,83.12,83.42,82.17
2/15/2017,83.16,11761910,82.64,83.18,82.4634
2/14/2017,82.82,11369840,82.91,83.1,82.06
2/13/2017,83,9056892,82.77,83.1837,82.35
2/10/2017,82.52,8739381,82.26,82.77,82.13
2/9/2017,81.84,9574366,81.8,82.05,81.665
2/8/2017,81.48,14003910,81.99,82.12,81.17
2/7/2017,82.77,11689350,83.23,83.62,82.45
2/6/2017,83.31,9929942,83.55,83.65,82.93
2/3/2017,83.54,12732810,83.7,83.72,82.9
2/2/2017,83.45,12190440,83.21,83.53,82.55
2/1/2017,82.94,15084320,84,84.16,82.54
1/31/2017,83.89,19126180,85.04,85.07,83.13
1/30/2017,84.86,12761330,85.42,85.45,84.175
1/27/2017,85.51,10942330,85.3,85.75,85.0441
1/26/2017,85.6,8775047,85.69,85.83,85.12
1/25/2017,85.34,9576700,85.34,85.88,85.25
1/24/2017,85.09,11834120,84.98,85.47,84.825
1/23/2017,84.97,11413130,85.68,85.88,84.75
1/20/2017,85.89,18699760,85.44,85.96,85.05
1/19/2017,84.73,16355880,85.97,86.1,84.59
1/18/2017,86.28,11812980,87.06,87.41,86.05
1/17/2017,87.36,13233190,86.58,87.39,86.25
1/13/2017,86.35,8404428,86.27,86.68,86.17
1/12/2017,86.34,10394730,87.27,87.38,86.07
1/11/2017,86.81,11031980,85.9,86.95,85.86
1/10/2017,85.93,13267310,87.17,87.31,85.91
1/9/2017,87.04,13746820,88.22,88.22,86.55
1/6/2017,88.5,16508660,88.79,88.98,87.82
1/5/2017,88.55,14438510,90.19,90.3,88.44
1/4/2017,89.89,9384256,91.12,91.15,89.75
1/3/2017,90.89,10344430,90.94,91.34,90.15
12/30/2016,90.26,9117025,90.03,90.7,90.01
12/29/2016,90.35,6683867,90.1,90.6,90.03
12/28/2016,90.3,6574300,90.68,91.11,90.26
12/27/2016,90.75,4913368,90.83,91.11,90.58
12/23/2016,90.71,4266137,90.89,90.96,90.52
12/22/2016,90.87,7989703,90.02,90.9,90.02
12/21/2016,90.28,7298098,90.68,90.9,90.18
12/20/2016,90.43,7206835,90.51,90.85,90.29
12/19/2016,90.42,9651496,91.38,91.54,90.2
12/16/2016,91.18,20291240,91.52,91.67,90.64
12/15/2016,90.89,11135690,90.1,90.98,89.76
12/14/2016,90.58,16322600,92.26,92.27,90.17
12/13/2016,92.58,18235580,91.89,93.215,91.17
12/12/2016,90.98,15536580,90.14,91.5,90.14
12/9/2016,89,8014781,88.64,89,88.18
12/8/2016,88.32,9029482,88.05,88.85,87.65
12/7/2016,88.07,10899320,87.63,88.15,87.2
12/6/2016,87.56,11280350,87.27,87.87,86.6999
12/5/2016,87.48,11721290,87.39,87.82,86.92
12/2/2016,87.04,9695961,87.19,87.99,86.6
12/1/2016,87.24,12999540,87.98,88.5,87.24
11/30/2016,87.3,22647820,87.6,88.19,87.2
11/29/2016,85.9,9161668,85.42,86.075,85.08
11/28/2016,86.47,7399912,86.95,87.1348,86.37
11/25/2016,87.12,5043042,86.71,87.14,86.54
11/23/2016,86.92,6060681,86.54,87.08,86.3101
11/22/2016,86.68,9387598,86.69,87.24,85.97
11/21/2016,86.49,8847675,86.44,86.69,86.135
11/18/2016,85.28,8350130,85.21,85.65,84.83
11/17/2016,85.23,8174752,86.44,86.88,85.02
11/16/2016,85.75,8137416,86.74,86.78,85.58
11/15/2016,86.82,12882240,85.77,87.06,85.77
11/14/2016,85.28,12582220,85.3,85.65,84.325
11/11/2016,85.67,13732880,86.53,86.73,84.89
11/10/2016,87.05,14069230,85.91,87.99,85.66
11/9/2016,86.25,15864210,84.05,86.71,83.66
11/8/2016,85.31,9718516,84.73,85.83,84.49
11/7/2016,85.45,13556890,84.49,85.47,84.4004
11/4/2016,83.57,13858600,83.63,84.33,82.76
11/3/2016,83.66,8818660,83.68,83.88,83.05
11/2/2016,83.45,11198430,83.3,83.88,82.94
11/1/2016,83.65,13035880,83.5,83.92,83.27
10/31/2016,83.32,16608610,83.88,84.4,82.99
10/28/2016,84.78,19070570,85.28,86.36,84.14
10/27/2016,86.92,9052759,87.28,87.66,86.8
10/26/2016,87.09,8478130,86.25,87.45,85.95
10/25/2016,86.72,6820764,86.67,87.65,86.6
10/24/2016,86.91,8331278,86.74,87.32,86.07
10/21/2016,86.62,10719610,86.42,86.82,85.6985
10/20/2016,87.21,6853804,86.79,87.5,86.6
10/19/2016,87.17,9361063,87.19,87.85,86.88
10/18/2016,86.77,5407652,87.17,87.33,86.38
10/17/2016,86.54,7255758,86.48,86.79,86.07
10/14/2016,86.54,7977738,87.19,87.535,86.48
10/13/2016,86.56,9884502,86.35,86.869,85.43
10/12/2016,87.13,8172309,87.22,87.72,86.67
10/11/2016,87.74,9289679,88.08,88.19,87.3
10/10/2016,88.44,10050930,87.54,88.67,87.51
10/7/2016,86.74,6599116,86.95,87.4,86.42
10/6/2016,87.04,7717701,87.25,87.47,86.44
10/5/2016,87,8790339,86.83,87.17,86.7
10/4/2016,86.25,8211433,87.38,87.5,86.07
10/3/2016,87.05,7082632,86.94,87.2,86.54
9/30/2016,87.28,15927840,86.84,87.81,86.65
9/29/2016,86.46,19055180,86.97,87.2,85.675
9/28/2016,86.9,28102320,83.46,87.23,83.34
9/27/2016,83.24,9587485,82.59,83.34,82.29
9/26/2016,83.06,10851050,83.52,84.5,82.93
9/23/2016,83.45,12663580,82.68,84.31,82.59
9/22/2016,83.54,10703170,84.28,84.55,83.38
9/21/2016,83.3,15033980,82.82,83.62,82.31
9/20/2016,82.54,17234820,83.73,83.95,82.54
9/19/2016,83.83,7928951,84.58,84.62,83.81
9/16/2016,84.03,21515600,84.51,85.05,83.56
9/15/2016,85.08,9235549,84.67,85.65,84.52
9/14/2016,84.6,13935400,85.04,85.83,84.265
9/13/2016,85.21,13178200,86.46,86.47,85.08
9/12/2016,87.29,10873270,86.78,87.71,86.63
9/9/2016,86.84,12773160,88.66,88.66,86.8
9/8/2016,89.05,9575778,88.55,89.37,88.04
9/7/2016,88.24,7464947,88.65,88.67,87.97
9/6/2016,88.57,9846087,87.84,88.64,87.66
9/2/2016,87.42,7086757,87.42,87.58,86.9307
9/1/2016,86.84,8430869,86.72,86.84,86.09
8/31/2016,87.14,12483060,87.14,87.21,86.22
8/30/2016,87.52,6436009,87.87,88.25,87.365
8/29/2016,87.84,7027095,87.04,87.92,87.04
8/26/2016,87.27,6472289,87.63,88.11,87
8/25/2016,87.46,6931637,88.02,88.03,87.24
8/24/2016,88.02,7981174,87.5,88.16,87.35
8/23/2016,87.72,6508102,87.84,88.02,87.56
8/22/2016,87.99,8171550,87.31,88.1,86.845
8/19/2016,87.8,8433365,88.63,88.74,87.79
8/18/2016,88.91,10335980,88.38,88.94,88.12
8/17/2016,88.11,7100006,87.92,88.18,87.66
8/16/2016,87.92,6807778,87.83,88.1799,87.37
8/15/2016,87.81,6431931,88.42,88.5,87.64
8/12/2016,87.85,9986463,86.96,87.98,86.9
8/11/2016,86.72,11614540,86.69,87.27,86.26
8/10/2016,86.41,12688920,87.78,87.92,86.01
8/9/2016,88.7,9647000,88.62,88.76,88.18
8/8/2016,88.59,10481140,88.05,88.89,88.03
8/5/2016,87.56,9598369,87.73,87.83,87.15
8/4/2016,87.48,13445850,87.5,87.65,87.03
8/3/2016,87.49,14629500,87.01,87.49,86.6
8/2/2016,87.04,18898990,86.45,87.32,85.58
8/1/2016,85.86,22901530,88.08,88.15,85.59
7/29/2016,88.95,23919130,87.61,89.01,86.12
7/28/2016,90.2,12430750,90.54,90.73,89.61
7/27/2016,90.91,9996266,91.51,91.805,90.63
7/26/2016,91.53,12116630,91.63,92.03,91.11
7/25/2016,92.2,10839540,93.47,93.62,91.76
7/22/2016,94.01,7137681,94.11,94.294,93.72
7/21/2016,93.85,7756365,93.89,94.26,93.46
7/20/2016,93.93,7381687,94.25,94.4161,93.8
7/19/2016,94.47,5901790,94.76,94.94,94.2
7/18/2016,94.82,9861809,94.92,95.15,94.4
7/15/2016,95.12,10334350,95.44,95.55,94.64
7/14/2016,94.95,9287847,95.05,95.53,94.62
7/13/2016,94.88,9451464,94.65,94.915,94.11
7/12/2016,94.95,9864606,94.67,94.95,94.09
7/11/2016,93.89,8297875,93.75,94.41,93.65
7/8/2016,93.54,9807385,93.39,93.78,92.92
7/7/2016,92.96,12235560,94.34,94.49,92.35
7/6/2016,94.09,13137510,93.35,94.12,92.44
7/5/2016,93.02,10737650,93.12,93.6,92.25
7/1/2016,93.84,9945159,93.36,93.98,93.07
6/30/2016,93.74,14069580,92.33,93.8273,92.3
6/29/2016,92.46,13919470,91.41,92.7,91.12
6/28/2016,90.91,13247140,89.73,90.93,89.52
6/27/2016,88.86,14390230,88.9,89.1,88.11
6/24/2016,89.39,19992430,89.88,90.8,89.15
6/23/2016,91.8,9445376,91.93,92.07,91.19
6/22/2016,91.17,8777833,91.84,91.93,91.005
6/21/2016,91.53,8548061,90.72,91.64,90.25
6/20/2016,91.12,9386319,91.29,91.59,91.07
6/17/2016,90.72,17474920,91.49,91.59,90.19
6/16/2016,91.22,12812670,89.7,91.39,89.11
6/15/2016,90.16,10654880,90.23,90.9,90
6/14/2016,90.43,10159350,90.45,90.87,89.85
6/13/2016,90.59,11369540,89.92,91.43,89.7
6/10/2016,89.98,10352750,90.4,90.92,89.7801
6/9/2016,90.67,8974318,90.18,91.03,90.11
6/8/2016,90.79,9982492,91.03,91.3,90.53
6/7/2016,90.71,12878840,89.75,90.92,89.71
6/6/2016,89.34,8562357,88.87,89.5,88.69
6/3/2016,88.37,9363255,88.44,88.83,88.03
6/2/2016,88.53,9834804,88.21,88.53,87.61
6/1/2016,89.24,7990688,88.43,89.45,88.13
5/31/2016,89.02,13173650,90,90.2,88.73
5/27/2016,90.01,7502310,89.4,90.05,89.32
5/26/2016,89.8,7867824,90.25,90.46,89.27
5/25/2016,90.26,9578344,89.85,90.37,89.59
5/24/2016,89.67,10052210,89.89,90.4,89.55
5/23/2016,89.6,11765850,89,89.9,88.8201
5/20/2016,89.74,13190670,90.39,90.4,89.38
5/19/2016,90.11,14395460,88.61,90.16,88.45
5/18/2016,89.35,9675382,89.8,90,88.65
5/17/2016,89.53,9833966,89.27,89.91,89.16
5/16/2016,89.57,8638611,89.2,89.67,89
